#Overview of data in ClinVar by gene, dated September 29, 2015
#Symbol	GeneID	Total_submissions	Total_alleles	Submissions_reporting_this_gene	Alleles_reported_Pathogenic_Likely_pathogenic	Gene_MIM_number
A1BG	1	11	11	-	-	138670
A1BG-AS1	503538	11	11	-	-	-
A1CF	29974	8	8	-	1	-
A2M	2	19	17	7	-	103950
A2M-AS1	144571	12	12	-	-	-
A2ML1	144568	21	21	3	-	610627
A3GALT2	127550	2	2	-	-	-
A4GALT	53947	23	23	8	2	607922
A4GNT	51146	15	15	-	-	-
AAAS	8086	17	17	13	11	605378
AACS	65985	12	12	-	-	614364
AADAC	13	10	9	-	-	600338
AADACL2	344752	7	7	-	-	-
AADACL2-AS1	101928142	10	9	-	-	-
AADACL3	126767	25	25	-	2	-
AADACL4	343066	26	26	-	2	-
AADAT	51166	28	28	-	-	611754
AAED1	195827	19	19	-	-	-
AAGAB	79719	8	8	6	6	614888
AAK1	22848	4	4	-	-	616405
AAMDC	28971	3	3	-	-	-
AAMP	14	9	9	-	-	603488
AANAT	15	4	4	1	-	600950
AAR2	25980	6	6	-	-	-
AARD	441376	26	26	-	-	-
AARS	16	26	25	9	4	601065
AARS2	57505	33	33	8	7	612035
AARSD1	80755	4	4	-	-	613212
AASDH	132949	8	8	-	-	614365
AASDHPPT	60496	5	5	-	-	607756
AASS	10157	18	18	7	7	605113
AATBC	284837	48	48	-	-	-
AATF	26574	36	36	-	-	608463
AATK	9625	9	9	-	-	605276
AATK-AS1	388428	9	9	-	-	-
ABAT	18	27	27	12	8	137150
ABCA1	19	47	47	23	21	600046
ABCA10	10349	5	5	-	1	612508
ABCA12	26154	27	27	12	12	607800
ABCA13	154664	9	9	-	-	607807
ABCA2	20	33	33	-	-	600047
ABCA3	21	38	38	23	9	601615
ABCA4	24	652	576	166	53	601691
ABCA5	23461	6	6	1	1	612503
ABCA6	23460	4	4	-	-	612504
ABCA7	10347	14	14	-	-	605414
ABCA8	10351	4	4	-	-	612505
ABCA9	10350	4	4	-	-	612507
ABCA9-AS1	104355297	4	4	-	-	-
ABCB1	5243	11	11	7	1	171050
ABCB10	23456	15	15	-	-	605454
ABCB11	8647	26	25	19	8	603201
ABCB4	5244	37	31	31	13	171060
ABCB5	340273	21	21	-	-	611785
ABCB6	10058	24	24	11	6	605452
ABCB7	22	78	78	4	6	300135
ABCB8	11194	35	35	-	-	605464
