GENE	gene	condition
AAAS	AAAS	AAAS Del/Dup
AAAS	AAAS	AAAS Gene Sequencing
AARS	AARS	Axonal CMT Panel
AARS	AARS	Hereditary Neuropathy Panel
AARS2	AARS2	Combined Mito Genome Plus Mito Nuclear Gene Panel
AARS2	AARS2	Comprehensive Mitochondrial Nuclear Gene Panel
ABCA12	ABCA12	ABCA12 Del/Dup
ABCA12	ABCA12	ABCA12 Gene Sequencing
ABCA12	ABCA12	ABCA12 Select Exon Sequencing
ABCA12	ABCA12	Congenital Ichthyosis XomeDxSlice
ABCA4	ABCA4	ABCA4 Del/Dup
ABCA4	ABCA4	Cone-Rod Dystrophy Sequencing Panel
ABCA4	ABCA4	Stargardt Sequencing Panel
ABCA4	ABCA4	Stargardt Del/Dup Panel
ABCA4	ABCA4	arRP Del/Dup Panel
ABCA4	ABCA4	arRP Sequencing Panel
ABCB7	ABCB7	Combined Mito Genome Plus Mito Nuclear Gene Panel
ABCB7	ABCB7	Comprehensive Mitochondrial Nuclear Gene Panel
ABCC6	ABCC6	ABCC6 Del/Dup
ABCC6	ABCC6	ABCC6 Gene Sequencing
ABCC6	ABCC6	ABCC6 Hot Spots (Tier I)
ABCC9	ABCC9	Comprehensive Cardiomyopathy Panel
ABHD5	ABHD5	ABHD5 Del/Dup
ABHD5	ABHD5	ABHD5 Gene Sequencing
ABHD5	ABHD5	Congenital Ichthyosis XomeDxSlice
ACAD8	ACAD8	ACAD8 Del/Dup
ACAD8	ACAD8	ACAD8 Gene Sequencing
ACAD9	ACAD9	Combined Mito Genome Plus Mito Nuclear Gene Panel
ACAD9	ACAD9	Comprehensive Mitochondrial Nuclear Gene Panel
ACAD9	ACAD9	Mitochondrial Complex I Deficiency Nuclear Gene Panel
ACAD9	ACAD9	Lactic Acidosis/Pyruvate Metabolism Nuclear Gene Panel
ACAD9	ACAD9	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
ACADM	ACADM	Fatty Acid Oxidation Sequencing Panel
ACADM	ACADM	Reflex Del/Dup Testing After Fatty Acid Oxidation Disorders Panel
ACADM	ACADM	ACADM Del/Dup
ACADM	ACADM	ACADM Gene Sequencing
ACADM	ACADM	ACADM Mutation Detection (T121I)
ACADM	ACADM	ACADM Remaining Exons Sequencing
ACADM	ACADM	ACADM Select Exons Sequencing
ACADM	ACADM	Hyperammonemia, Urea Cycle and Transporter Defects Sequencing Panel
ACADM	ACADM	Reflex Del/Dup Testing after Hyperammonemia Panel
ACADS	ACADS	Fatty Acid Oxidation Sequencing Panel
ACADS	ACADS	Reflex Del/Dup Testing After Fatty Acid Oxidation Disorders Panel
ACADS	ACADS	ACADS Del/Dup
ACADS	ACADS	ACADS Gene Sequencing
ACADS	ACADS	Hyperammonemia, Urea Cycle and Transporter Defects Sequencing Panel
ACADS	ACADS	Reflex Del/Dup Testing after Hyperammonemia Panel
ACADSB	ACADSB	ACADSB (M389V) Mutation Analysis
ACADSB	ACADSB	ACADSB Del/Dup
ACADSB	ACADSB	ACADSB Gene Sequencing
ACADVL	ACADVL	Fatty Acid Oxidation Sequencing Panel
ACADVL	ACADVL	Reflex Del/Dup Testing After Fatty Acid Oxidation Disorders Panel
ACADVL	ACADVL	ACADVL Del/Dup
ACADVL	ACADVL	ACADVL Gene Sequencing
ACADVL	ACADVL	Hyperammonemia, Urea Cycle and Transporter Defects Sequencing Panel
ACADVL	ACADVL	Reflex Del/Dup Testing after Hyperammonemia Panel
ACAT1	ACAT1	ACAT1 Del/Dup
ACAT1	ACAT1	ACAT1 Gene Sequencing
ACO2	ACO2	Combined Mito Genome Plus Mito Nuclear Gene Panel
ACO2	ACO2	Comprehensive Mitochondrial Nuclear Gene Panel
ACO2	ACO2	Progressive External Ophthalmoplegia (PEO)/Optic Atrophy Nuclear Gene Panel
ACO2	ACO2	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
ACSF3	ACSF3	Methylmalonic Acidemia, Cobalamin Metabolism and Related Disorders Sequencing Panel
ACSF3	ACSF3	Reflex Del/Dup Testing After MMA and Related Disorders Panel
ACSF3	ACSF3	ACSF3 Del/Dup
ACSF3	ACSF3	ACSF3 Gene Sequencing
ACTA1	ACTA1	ACTA1 Gene Sequencing
ACTA1	ACTA1	Congenital Myopathies & Muscular Dystrophies Panel
ACTA1	ACTA1	ACTA1 Gene Sequencing & NEB Mutation Analysis
ACTA1	ACTA1	Neuromuscular Disorders Panel
ACTA2	ACTA2	Marfan Syndrome/TAAD Del/Dup Panel
ACTA2	ACTA2	Marfan/TAAD Sequencing & Del/Dup Panel
ACTA2	ACTA2	Marfan Syndrome/TAAD Sequencing Panel
ACTB	ACTB	Noonan and RASopathies Panel
ACTB	ACTB	ACTC (ACTC1)
ACTB	ACTB	HCM Sequencing Panel
ACTB	ACTB	Cardiomyopathies Del/Dup Panel
ACTB	ACTB	DCM/LVNC Sequencing Panel
ACTB	ACTB	Comprehensive Cardiomyopathy Panel
ACTG1	ACTG1	Noonan and RASopathies Panel
ACTN2	ACTN2	DCM/LVNC Sequencing Panel
ACTN2	ACTN2	Comprehensive Cardiomyopathy Panel
ACTN2	ACTN2	ACVRL1 (ALK1)
ACTN2	ACTN2	Hereditary Hemorrhagic Telangiectasia Panel
ACTN2	ACTN2	Pulmonary Arterial Hypertension Panel
ADA	ADA	Comprehensive SCID Panel
ADA	ADA	ADA Del/Dup
ADA	ADA	ADA Gene Sequencing
ADA	ADA	B-negative SCID Panel
ADA	ADA	ADCK3 (CABC1; COQ8)
ADA	ADA	Combined Mito Genome Plus Mito Nuclear Gene Panel
ADA	ADA	Comprehensive Mitochondrial Nuclear Gene Panel
