allele_code	alleles	haploidenticalPaternal	haploidenticalMaternal	identical	nonidentical	compression	mie
0	0,0,0,0	goodprobHI	goodprobHI	goodprobID	goodprobID	erprobC	erprobM
1	0,0,0,1	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
2	0,0,0,2	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
3	0,0,1,0	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
4	0,0,1,1	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
5	0,0,1,2	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
6	0,0,2,0	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
7	0,0,2,1	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
8	0,0,2,2	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
9	0,1,0,0	erprobHI	goodprobHI	goodprobID	erprobID	erprobC	erprobM
10	0,1,0,1	goodprobHI	erprobHI	erprobID	goodprobID	erprobC	erprobM
11	0,1,0,2	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
12	0,1,1,0	goodprobHI	erprobHI	erprobID	goodprobID	erprobC	erprobM
13	0,1,1,1	erprobHI	goodprobHI	goodprobID	erprobID	erprobC	erprobM
14	0,1,1,2	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
15	0,1,2,0	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
16	0,1,2,1	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
17	0,1,2,2	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
18	0,2,0,0	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
19	0,2,0,1	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
20	0,2,0,2	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
21	0,2,1,0	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
22	0,2,1,1	goodprobHI	goodprobHI	goodprobID	goodprobID	erprobC	erprobM
23	0,2,1,2	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
24	0,2,2,0	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
25	0,2,2,1	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
26	0,2,2,2	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
27	1,0,0,0	goodprobHI	erprobHI	goodprobID	erprobID	erprobC	erprobM
28	1,0,0,1	erprobHI	goodprobHI	erprobID	goodprobID	erprobC	erprobM
29	1,0,0,2	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
30	1,0,1,0	erprobHI	goodprobHI	erprobID	goodprobID	erprobC	erprobM
31	1,0,1,1	goodprobHI	erprobHI	goodprobID	erprobID	erprobC	erprobM
32	1,0,1,2	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
33	1,0,2,0	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
34	1,0,2,1	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
35	1,0,2,2	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
36	1,1,0,0	erprobHI	erprobHI	goodprobID	erprobID	erprobC	erprobM
37	1,1,0,1	goodprobHI	goodprobHI	erprobID	erprobID	erprobC	erprobM
38	1,1,0,2	erprobHI	erprobHI	erprobID	goodprobID	erprobC	erprobM
39	1,1,1,0	goodprobHI	goodprobHI	erprobID	erprobID	erprobC	erprobM
40	1,1,1,1	erprobHI	erprobHI	goodprobID	goodprobID	comprob	erprobM
41	1,1,1,2	goodprobHI	goodprobHI	erprobID	erprobID	erprobC	erprobM
42	1,1,2,0	erprobHI	erprobHI	erprobID	goodprobID	erprobC	erprobM
43	1,1,2,1	goodprobHI	goodprobHI	erprobID	erprobID	erprobC	erprobM
44	1,1,2,2	erprobHI	erprobHI	goodprobID	erprobID	erprobC	erprobM
45	1,2,0,0	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
46	1,2,0,1	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
47	1,2,0,2	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
