allele_code	alleles	MIErich	Compression	GoodData
0	0,0,0	erprobM	erprobC	goodprob
1	0,0,1	mieprob	erprobC	erprobG
2	0,0,2	mieprob	erprobC	erprobG
3	0,1,0	erprobM	erprobC	goodprob
4	0,1,1	erprobM	erprobC	goodprob
5	0,1,2	mieprob	erprobC	erprobG
6	0,2,0	mieprob	erprobC	erprobG
7	0,2,1	erprobM	erprobC	goodprob
8	0,2,2	mieprob	erprobC	erprobG
9	1,0,0	erprobM	erprobC	goodprob
10	1,0,1	erprobM	erprobC	goodprob
11	1,0,2	mieprob	erprobC	erprobG
12	1,1,0	erprobM	erprobC	goodprob
13	1,1,1	erprobM	comprob	goodprob
14	1,1,2	erprobM	erprobC	goodprob
15	1,2,0	mieprob	erprobC	erprobG
16	1,2,1	erprobM	erprobC	goodprob
17	1,2,2	erprobM	erprobC	goodprob
18	2,0,0	mieprob	erprobC	erprobG
19	2,0,1	erprobM	erprobC	goodprob
20	2,0,2	mieprob	erprobC	erprobG
21	2,1,0	mieprob	erprobC	erprobG
22	2,1,1	erprobM	erprobC	goodprob
23	2,1,2	erprobM	erprobC	goodprob
24	2,2,0	mieprob	erprobC	erprobG
25	2,2,1	mieprob	erprobC	erprobG
26	2,2,2	erprobM	erprobC	goodprob
